Year,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
2008-09,0.0,0.0,0.0,0.0,0.0
2009-10,0.0,0.0,0.0,0.0,0.0
2010-11,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,0.0
2012-13,0.0,0.0,0.0,0.0,0.0
2013-14,0.0,0.0,0.0,0.0,0.0
2014-15,0.0,0.0,0.0,0.0,0.0
2015-16,0.0,0.0,0.0,0.0,0.0
2016-17,0.0,0.0,0.0,0.0,0.0
2017-18,0.0,0.0,0.0,0.0,0.0
2018-19,0.95,0.18,0.0,0.0,5.28
2019-20,0.0,0.0,0.0,0.0,0.0
2020-21,0.0,0.0,0.0,0.0,0.0
2021-22,0.0,0.0,0.0,0.0,0.0
2022-23,0.0,0.0,0.0,0.0,0.0
2023-24 (April-November),0.0,0.0,0.0,0.0,0.0
Total,0.95,0.18,0.0,0.0,0.0
